"Y"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"	"X47"	"X48"	"X49"	"X50"
1	11.47	20.21	4.02	1.4	54.54	43.32	68.93	9.3	1017.51	0	2.63	2.52	14.7	25.78	31.12	20.34	19.94	76.56	62.39	89.6	10.48	1006.22	50.35	4.49	4.04	11.12	19.8666666666667	10.8166666666667	69.97	53.8733333333333	8.75	1018.28333333333	25.3366666666667	16.2266666666667	55.3933333333333	44.2233333333333	0	1013.73666666667	23.785	16	64.275	50.805	1.04	1015.64	30.31	24.536	84.486	74.626	168.55	1008.284
1	13.86	19.13	7.09	7.6	74.1	56.16	92.87	6.95	1018.09	17.73	5.3	4.37	9.21	24.04	29.81	17.62	17.42	71.39	57.99	87.76	9.6	1010.35	42.46	4.55	3.79	11.38	20.46	11.71	80.5666666666667	65.7366666666667	11.15	1015.26666666667	23.0866666666667	15.78	82.01	65.68	24.09	1011.97333333333	26.79	18.88	60.63	54.42	1.37	1012.66	31.182	24.81	84.408	74.628	206.19	1009.09
0	14.8	22.05	7.98	9.08	74.69	62.58	86.08	8.29	1014.66	4.64	3.82	3.36	9.99	25.24	31.85	19.99	18.79	68.78	53.58	86.99	8.87	1007.52	55.13	4.37	3.57	11	20.3233333333333	13.1833333333333	84.8066666666667	65.95	5.44	1017.43333333333	23.69	15.3233333333333	77.17	57.2	5.01	1012.92333333333	26.81	18.625	68.025	53.275	1.02	1010.745	30.85	23.924	78.098	66.016	144.69	1009.026
0	15.85	21.53	11.36	12.52	82.68	74.06	90.73	6.53	1013.84	9.65	5.18	5.75	6.83	26.53	31.21	20.09	17.88	68.17	46.22	90.76	10.63	1007.95	39.62	4.61	3.81	9.5	19.6033333333333	10.2066666666667	76.4333333333333	60.8366666666667	8.17	1019.07666666667	21.23	12.1333333333333	75.7233333333333	56.0533333333333	3.2	1019.86666666667	27.92	18.28	49.745	44	0.66	1012.655	30.99	25.024	80.912	67.352	107.11	1010.196
0	9.34	19.71	0.56	1.32	58.37	46.11	74.59	6.09	1017.35	0.05	1.71	1.85	11.64	22.57	28.75	18.42	18.63	80.16	71.61	88.74	7.53	1007.05	97.19	6.45	4.7	13.03	21.2566666666667	11.93	76.81	64.12	0.83	1013.71333333333	24.5566666666667	15.44	71.6566666666667	58.8966666666667	-4.08	1013.99333333333	23.82	16.465	61.655	57.875	1.81	1014.5	28.254	22.278	87.216	79.042	207.97	1006.816
0	16.76	25.09	9.49	11.29	72.77	63.54	84.89	7.16	1012.53	2.81	3.1	3.41	13.62	24.92	30.04	19.47	18.16	68.31	55.2	85.91	6.94	1006.69	48.79	5.73	4.01	10.18	20.2866666666667	10.5833333333333	70.8633333333333	58.3266666666667	0.91	1017.07	21.57	12.1266666666667	76.0366666666667	55.81	-0.13	1018.11666666667	31.07	19.32	45.62	39.77	0.47	1010.135	27.926	22.13	85.06	75.624	150.09	1009.668
0	16.41	20.97	12.57	14.21	84.49	74.19	91.92	7.42	1013.06	3.37	6.18	6.77	7.99	26.95	32.81	20.58	19.02	60.02	54.17	77.79	11.1	1007.12	41.81	3.92	3.17	14.25	19.11	11.5866666666667	75.2966666666667	60.5066666666667	3.33	1018.63	21.4833333333333	13.0666666666667	76.1733333333333	55.7766666666667	-0.05	1019.26	30.41	19.645	48.895	42.17	0.23	1011.245	28.562	23.274	83.256	73.648	127.07	1009.968
1	13.8	19.25	7.79	9.26	76.15	67.5	81.24	8.29	1017.59	-4.07	5.52	4.25	3.75	23.65	28.59	19.51	18.89	77.61	60.27	94.71	10.68	1009.76	55.16	6.54	3.96	9.23	20.6233333333333	13.01	81.04	71.1366666666667	11.95	1014.89666666667	23.0133333333333	16.2433333333333	81.6733333333333	67.0566666666667	29.28	1011.53333333333	26.47	19.355	60.69	54.5	0.3	1011.6	29.918	24.316	87.842	79.556	234.95	1008.692
0	11.82	21.01	4.73	5.73	65.55	56.27	76.47	10.32	1015.21	0	2.03	2.1	11.28	25.34	31.68	19.08	19.02	71.32	59.26	86.14	10.75	1002.74	59.73	3.8	3.31	10.5	20.6633333333333	12.1733333333333	74.9533333333333	64.46	1.57	1016.39333333333	22.3933333333333	12.9166666666667	59.37	44.02	0.81	1016.98333333333	27.245	18.2	62.755	53.535	10.6	1011.33	27.032	21.18	88.526	76.752	252.58	1009.202
0	11.48	18.18	6.02	8.26	78.93	60.99	90.1	8.35	1017.44	21.61	3.92	4.07	6.26	25.55	32.06	20.67	18.73	70.91	61.4	79.42	10.79	1005.31	48.6	5.03	3.36	12.08	20.2266666666667	11.9866666666667	79.4166666666667	70.4933333333333	1.89	1016.68333333333	25.81	15.9633333333333	71.58	56.5266666666667	1.05	1014.17	27.505	19.455	73.125	64.595	7.59	1009.58	28.068	22.272	85.408	78.91	232.39	1010.224
1	13.33	19.19	6.81	9.12	77.61	71.84	81.1	7.8	1017.56	-1.68	5.41	4.02	4.05	25.54	32.12	20.59	20.96	76.39	67.67	85.16	8.58	1004.5	86.49	4.82	3.43	12.26	20.3766666666667	12.38	79.5733333333333	71.7733333333333	11.05	1014.92333333333	22.9266666666667	15.7733333333333	78.9233333333333	65.4533333333333	25.14	1011.58333333333	26.17	18.89	60.675	53.975	0.64	1011.52	28.24	22.6	88.062	80.888	184.31	1010.5
